dept_name,gender,emp_no,from_date,to_date,calendar_year,active
Marketing,M,110022,1995-12-30,1998-12-29,1990,0
Marketing,M,110022,1995-12-30,1998-12-29,1991,0
Marketing,M,110022,1995-12-30,1998-12-29,1992,0
Marketing,M,110022,1995-12-30,1998-12-29,1993,0
Marketing,M,110022,1995-12-30,1998-12-29,1994,0
Marketing,M,110022,1995-12-30,1998-12-29,1995,1
Marketing,M,110022,1995-12-30,1998-12-29,1996,1
Marketing,M,110022,1995-12-30,1998-12-29,1997,1
Marketing,M,110022,1995-12-30,1998-12-29,1998,1
Marketing,M,110022,1995-12-30,1998-12-29,1999,0
Marketing,M,110022,1995-12-30,1998-12-29,2000,0
Marketing,M,110039,1997-04-09,9999-01-01,1990,0
Marketing,M,110039,1997-04-09,9999-01-01,1991,0
Marketing,M,110039,1997-04-09,9999-01-01,1992,0
Marketing,M,110039,1997-04-09,9999-01-01,1993,0
Marketing,M,110039,1997-04-09,9999-01-01,1994,0
Marketing,M,110039,1997-04-09,9999-01-01,1995,0
Marketing,M,110039,1997-04-09,9999-01-01,1996,0
Marketing,M,110039,1997-04-09,9999-01-01,1997,1
Marketing,M,110039,1997-04-09,9999-01-01,1998,1
Marketing,M,110039,1997-04-09,9999-01-01,1999,1
Marketing,M,110039,1997-04-09,9999-01-01,2000,1
Marketing,M,110040,1991-12-31,1997-12-29,1990,0
Marketing,M,110040,1991-12-31,1997-12-29,1991,1
Marketing,M,110040,1991-12-31,1997-12-29,1992,1
Marketing,M,110040,1991-12-31,1997-12-29,1993,1
Marketing,M,110040,1991-12-31,1997-12-29,1994,1
Marketing,M,110040,1991-12-31,1997-12-29,1995,1
Marketing,M,110040,1991-12-31,1997-12-29,1996,1
Marketing,M,110040,1991-12-31,1997-12-29,1997,1
Marketing,M,110040,1991-12-31,1997-12-29,1998,0
Marketing,M,110040,1991-12-31,1997-12-29,1999,0
Marketing,M,110040,1991-12-31,1997-12-29,2000,0
Marketing,F,110041,1993-08-02,1998-08-01,1990,0
Marketing,F,110041,1993-08-02,1998-08-01,1991,0
Marketing,F,110041,1993-08-02,1998-08-01,1992,0
Marketing,F,110041,1993-08-02,1998-08-01,1993,1
Marketing,F,110041,1993-08-02,1998-08-01,1994,1
Marketing,F,110041,1993-08-02,1998-08-01,1995,1
Marketing,F,110041,1993-08-02,1998-08-01,1996,1
Marketing,F,110041,1993-08-02,1998-08-01,1997,1
Marketing,F,110041,1993-08-02,1998-08-01,1998,1
Marketing,F,110041,1993-08-02,1998-08-01,1999,0
Marketing,F,110041,1993-08-02,1998-08-01,2000,0
Marketing,M,110042,1993-12-30,2000-12-28,1990,0
Marketing,M,110042,1993-12-30,2000-12-28,1991,0
Marketing,M,110042,1993-12-30,2000-12-28,1992,0
Marketing,M,110042,1993-12-30,2000-12-28,1993,1
Marketing,M,110042,1993-12-30,2000-12-28,1994,1
Marketing,M,110042,1993-12-30,2000-12-28,1995,1
